il_adi;plaka;belediye_ismi;belediye_tel;belediye_faks;belediye_mail;belediye_web;nufus;alankodu;bolge;bilgi
aydin;9;aydın büyükşehir;2562266352;2562260912;info@aydin-bld.gov.tr;aydin-bld.gov.tr;1020957;256;ege;aydın, türkiye'nin bir ili ve en kalabalık yirminci şehri. 2015 itibarıyla 1.053.506 nüfusa sahiptir. ege bölgesi'nde yer alan, turizm ve tarım açısından en gelişmiş illerdendir. ege denizi'ne kıyısı vardır. didim ve kuşadası türkiye'nin iki önemli turizm merkeziyle turizm potansiyeli yüksek bir ildir. plaka kodu 09'dur. aydın, türkiye'nin ilk demiryolu kurulan şehridir. aydın'da çok sayıda tarihÃ® eser bulunur. türkiye'nin en uzun üçüncü tüneli, türkiye otoyolları üzerindeki en uzun ikinci tüneli burada bulunmaktadır. nüfus bakımından ege bölgesi'nin izmir ve manisa'dan sonraki 3. büyük ilidir. ilde 17 ilçe bulunur.
balikesir;10;balıkesir büyükşehir;2662430400;2662436709;belediye@balikesir.bel.tr;www.balikesir.bel.tr;1162761;266;marmara;balıkesir, türkiye'nin bir ili ve en kalabalık on yedinci şehri. marmara bölgesi'nin güney marmara bölümü'nde, topraklarının bir kısmı ise ege bölgesi'nde yer alan ilin hem marmara hem de ege denizi'ne kıyısı bulunur. türkiye genelinde ise iki deniz ile komşu olan sadece 6 il vardır.[3] il, kuzeybatı anadolu'da bulunmaktadır. doğusunda bursa ve kütahya illeri, güneyinde manisa ve izmir illeri ve batısında çanakkale ili vardır.[4] ayvalık ilçesinden de yunanistan'ın midilli adası'na komşudur.[5] büyükşehir statüsünde olan balıkesir ili, 20 ilçeden oluşmaktadır. yüzölçümü bakımından en büyük 13. il, 2014 nüfus sayımına göre de 1.189.057 kişiyle türkiye'nin en kalabalık 17. ilidir.
bartin;74;bartın;3782270229;3782274013;bartinbelediyesi@bartinbelediyesi.com;www.bartinbelediyesi.com;61289;378;karadeniz;
batman;72;batman;4882131026;4882134704;batmanbldozelkalem@mynet.com;www.batman-bld.gov.tr;369478;488;güneydoğu anadolu;batman , güneydoğu anadolu bölgesi'nde batman ili'nin ve merkez ilçe'nin yönetim merkezi olan şehirdir. gercüş, hasankeyf, beşiri, kozluk ve sason ilçeleri bulunmaktadır.
bayburt;69;bayburt;4582116757;4582112861;bbelediye@hotmail.com;www.bayburt-bld.gov.tr;36326;458;karadeniz;bayburt, bayburt ilinin merkez ilçesidir.
bilecik;11;bilecik;2282121168;2282121802;ozelkalem@bilecik.bel.tr;www.bilecik.bel.tr;55113;228;marmara;bilecik, bilecik ilinin merkezi olan ilçedir. türkiye'nin marmara bölgesi'nin güney marmara bölümü'nde kalmaktadır.
bingol;12;bingöl;4262134506;4262131124;;www.bingol.bel.tr;99260;426;doğu anadolu;bingöl, bingöl ilinin merkezi olan şehirdir.
bitlis;13;bitlis;4342286314;4342286313;belediye@bitlis.bel.tr;www.bitlis.bel.tr;47008;434;doğu anadolu;"bitlis, (osmanlıca: Ø¨Ø¯Ù„ÙŠØ³ / bidlis[1] kürtçe bedlis, ermenice: ""baghaghesh"" veya ""baghesh"") bitlis ilinin merkezi olan şehirdir. merkez ilçeye bağlı üç bucak vardır. doğu anadolu bölgesi'nde yer alan bitlis'i, güneyden siirt, batıdan muş, kuzeyden ağrı illeri ve doğudan van gölü çevreler. bitlis, kaleleri ve islam eserleriyle önemli bir ildir."
bolu;14;bolu;3742153713;3742170064;info@bolu.bel.tr;www.bolu.bel.tr;140131;374;karadeniz;bolu, bolu ilinin merkez ilçesidir.
burdur;15;burdur;2482335390;2482335394;belediye@burdur-bld.gov.tr;www.burdur-bld.gov.tr;74680;248;akdeniz;burdur, burdur ilinin merkez ilçesidir. burdur ili merkez ilçesi altı mahalleden oluşmaktadır. akdeniz bölgesi şehridir.
bursa;16;bursa büyükşehir;2242344000;2242251816;alo153@bursa.bel.tr;www.bursa.bel.tr;2740970;224;marmara;bursa, türkiye'nin bir ili ve en kalabalık dördüncü şehri. 2015 itibarıyla 2.842.547 nüfusa sahiptir. 2016 dünya yaşanabilir şehirler sıralamasında dünya'da 28[3]. türkiye'de 1. sırada yer almaktadır. marmara bölgesinin güney marmara bölümünde, 40Â° batı boylam ve 29Â° kuzey enlem daireleri arasında yer alır. eski adı hüdavendigar'dır. kuzeyinde marmara denizi ve yalova, kuzeydoğuda kocaeli ve sakarya, doğuda bilecik, güneyde kütahya ve batıda balıkesir illeri ile çevrilidir.
canakkale;17;çanakkale;2862171079;2862171228;bilgi@canakkale.bel.tr@;www.canakkale.bel.tr;116078;286;marmara;çanakkale, kuzeybatı anadolu'da, kendi adıyla anılan boğazın kıyısında yer alan bir kenttir. çanakkale merkez nüfusu 2015 yılı verilerine göre 122.613 kişidir.
cankiri;18;çankırı;3762121400;3762132505;ozelkalem@cankiri.bel.tr;www.cankiri.bel.tr;74442;376;iç anadolu;
corum;19;çorum;3642250810;3642123800;baskan@corum.bel.tr;corum.bel.tr;236738;364;karadeniz;çorum, iç orta karadeniz bölgesi'nde çorum ilinin merkezi ve aynı isim ile merkez ilçesi olan şehir. toprak sanayi ve makine imalat sanayi çok gelişmiştir. orta karadeniz bölümü'nün iç kısmında yer almaktadır. doğuda amasya, güneyde yozgat, batıda çankırı, kuzeyde sinop, kuzeydoğuda samsun, güneybatıda kırıkkale ile çevrilidir.
denizli;20;denizli büyükşehir;2582650050;2582802983;denizli@denizli.bel.tr;www.denizli.bel.tr;963464;258;ege;denizli, türkiye'nin bir ili ve en büyük on beş kent merkezinden biri. 2015 itibarıyla 993.442 nüfusa sahiptir.[3] tekstil ürünleri ve yöreye has denizli horozu ile meşhurdur. anadolu yarımadası'nın güneybatı, ege bölgesi'nin güneydoğusunda yer almaktadır. ege ve akdeniz bölgeleri arasında bir geçit durumundadır. denizli ili'nin her iki bölge üzerinde de toprakları vardır. denizli ili 28Â° 38' - 30Â° 05' doğu meridyenleri (doğu uç noktası
diyarbakir;21;diyarbakır büyükşehir;4122241136;4122244173;halklailiskiler@diyarbakir.bel.tr;www.diyarbakir.bel.tr;1607437;412;güneydoğu anadolu;diyarbakır, türkiye'nin bir ili ve en kalabalık on ikinci şehri. tüik adnks verilerine göre 2014 itibarıyla 1.635.048 nüfusa sahiptir. diyarbakır kent merkezi yaklaşık 9000 yıllık bir geçmişe sahiptir.
duzce;81;düzce;3805247027;3805250072;info@duzce.bel.tr;www.duzce.bel.tr;143018;380;karadeniz;düzce, türkiye'nin düzce ilinin merkez ilçesi.
edirne;22;edirne;2842139140;2842148063;baskan@edirne.bel.tr;www.edirne.bel.tr;150260;284;marmara;edirne, türkiye'nin edirne ilinde yer alan şehir ve aynı ilin merkez ilçesi. marmara bölgesi'nin trakya kesiminde, yunanistan ve bulgaristan sınırında yer almaktadır. 2014 sayımına göre toplam nüfusu 165.979'dur.
elazig;23;elazığ;4242484713;4242484732;ozelkalem@elazig.bel.tr;www.elazig.bel.tr;332810;424;doğu anadolu;elazığ (türkçe telaffuz: [elÉ’zÉ™.]
erzincan;24;erzincan;4462141780;4462143324;baskan@erzincan.bel.tr;www.erzincan.bel.tr;96914;446;doğu anadolu;erzincan, türkiye'de doğu anadolu bölgesi'nde erzincan ilinin merkez ilçesidir. şehir tarihte mengüceklilere başkentlik yapmıştır.[1] il kuzeyinde gümüşhane ile bayburt, kuzeybatısında giresun, batısında sivas, doğusunda erzurum, güneydoğusunda bingöl, güneybatısında elazığ ile malatya ve güneyinde ise tunceli'ye komşudur.
erzurum;25;erzurum büyükşehir;4422332388;4422330220;ebuyuksehir@erzurum-bld.gov.tr;www.erzurum-bld.gov.tr;766729;442;doğu anadolu;erzurum, türkiye'nin bir ili ve en kalabalık yirmi dokuzuncu şehri. 2015 itibarıyla 779.321 kişilik nüfusa sahiptir ve 999 kişi göç vermiştir.[2] nüfus bakımından doğu anadolu bölgesi'nin en büyük üçüncü ilidir. denizden yüksekliği yaklaşık 1900 m olan erzurum, tarihin ilk dönemlerinden beri yerleşim yeridir. şehir, tarihÃ® eserleri ve kış sporları tesisleriyle de tanınır. yüzölçümü bakımından türkiye'nin en büyük dördüncü ili olan erzurum'da, temel geçim kaynağı tarım ve hayvancılık olup şehir son yıllarda kış turizmiyle de öne çıkmaktadır. soğuk iklimi sebebiyle sanayisi gelişmemiştir. 25.066 km2 yüzölçümüne sahip il arazisinin %15,17'si tarımsal amaçlı olarak kullanılabilir konumdadır.[3]
eskisehir;26;eskişehir büyükşehir;2222204227;2222204235;info@eskisehir-bld.gov.tr;www.eskisehir-bld.gov.tr;799724;222;iç anadolu;eskişehir, türkiye'nin bir ili ve en kalabalık yirmi beşinci şehri. eskişehir nüfusu 2015 yılına göre 826.716'dir. ortasından porsuk çayı geçen şehir, içerisinde osmangazi üniversitesi ve anadolu üniversitesi'nin bulunması nedeniyle bir öğrenci kenti görünümündedir.
gaziantep;27;gaziantep büyükşehir;3422111200;3422111273;iletisim@gaziantep-bld.gov.tr;www.gaziantep-bld.gov.tr;1844438;342;güneydoğu anadolu;gaziantep, eski ve halk arasındaki adıyla antep, türkiye'nin bir ili ve en kalabalık sekizinci şehri. 2016 itibarıyla 1.931.836 nüfusa sahiptir.[2] güneydoğu anadolu bölgesi'nde sanayi ve gelişmişlik bakımından birincidir. ayrıca gaziantep, türkiye'nin hala yaşanılan en eski kenti olup dünyanın da hala yaşanılan en eski kentlerinden biridir.[3] bunların yanında gaziantep, türkiye sanayisi ve ticaretinde de çok önemli bir yer tutar. bunun sebepleri arasında gaziantep'in anadolu ile orta doğu arasında bir konumda bulunması ve liman kentlerine yakınlığı sayılabilir. gaziantep'in simgeleri arasında gaziantep kalesi sayılabilir.
giresun;28;giresun;4542162182;4542163327;belediyegiresun@gmail.com;www.giresun.bel.tr;102307;454;karadeniz;giresun (rumca: ÎšÎµÏÎ±ÏƒÎ¿ÏÎ½Ï„Î±, lazca: k'erosili), karadeniz bölgesi'nin doğu karadeniz bölümünde, kuzeyinde karadeniz sahili ile güneyinde kuzey anadolu dağlarının ikinci sırası arasında yer almakta olup, batısında ordu, güneybatısında sivas, güneydoğusunda erzincan, doğusunda gümüşhane ve kuzeydoğusunda da trabzon ile çevrilidir.
gumushane;29;gümüşhane;4562137300;4562137306;info@gumushane.bel.tr;www.gumushane.bel.tr;35916;456;karadeniz;gümüşhane, gümüşhane ilinin aynı isimli merkez ilçesi olan yönetsel birimdir.
hakkari;30;hakkari;4382116781;4382118952;belediye30@ttmail.com;;57939;438;doğu anadolu;hakkari, eski ismi çölemerik[1] (kürtçe: colemÃªrg, süryanice: üü°üŸiü³üªü³ü aqqare), hakkari ilinin merkezi olan şehirdir. türkiye cumhuriyeti'nin en güney doğusundadır.
hatay;31;hatay büyükşehir;3262149190;3262149199;beyazmasa@antakya.bel.tr;www.antakya.bel.tr;1503066;326;akdeniz;hatay, türkiye'nin bir ili ve en kalabalık on üçüncü şehri. 2015 yılı itibarıyla 1.533.507 nüfusa sahiptir.[5] akdeniz'in doğu şeridinde 35Â° 52' - 37Â° 4' kuzey enlemleri ile 35Â° 40' - 36Â° 35' boylamları arasında yer alan hatay'ın doğusunda ve güneyinde suriye, batısında akdeniz, kuzeybatısında adana, kuzeyinde osmaniye ve kuzeydoğusunda gaziantep bulunur.
igdir;76;ığdır;4762276496;4762273744;bilgiedinme@igdir.bel.tr;www.igdir.bel.tr;83944;476;doğu anadolu;ığdır'ın türkiye'deki konumu
isparta;32;ısparta;2462116000;2462324187;info@isparta.bel.tr;www.isparta.bel.tr;201873;246;akdeniz;ısparta, ısparta ilinin merkez ilçesidir. 2014 yılı nüfus sayımına göre kent merkezinin nüfusu 207.266, merkez ilçeye bağlı belde ve köylerin nüfusu 21.464 olmak üzere ısparta şehri nüfusu 228.730'dur. şehrin denizden yüksekliği (rakım) 1035 metredir. şehir, yöreye özgü el dokuması halılarıyla ve gül yetiştiriciliğiyle tanınmaktadır. ısparta, nüfusu artan bir ildir. tüik'in yayınladığı 2014 yılı adnks veri tabanına göre 228.730 olan merkez nüfusuyla ısparta
istanbul;34;istanbul büyükşehir;2124551300;2124552620;beyazmasa@ibb.gov.tr;www.ibb.gov.tr;14160467;212-216;marmara;istanbul, türkiye'de yer alan şehir ve ülkenin 81 ilinden biri. ülkenin en kalabalık, ekonomik ve sosyo-kültürel açıdan en önemli şehridir.[2][3][4] şehir, iktisadi büyüklük açısından dünyada 34., nüfus açısından belediye sınırları göz önüne alınarak yapılan sıralamaya göre avrupa'da birinci, dünyada ise lagos'tan sonra altıncı sırada yer almaktadır.[5][6]
izmir;35;izmir büyükşehir;2322931000;2322931041;him@izmir.bel.tr;www.izmir.bel.tr;4061074;232;ege;izmir, türkiye'nin bir ili ve en kalabalık üçüncü şehri. anadolu yarımadası'nın batısında, ege bölgesi'nin ortasında yer alan ve izmir körfezi çevresinde bulunan şehir, her yıl izmir enternasyonal fuarı'nı düzenleyen önemli bir fuar merkezi ve liman kentidir. yüz ölçümü olarak ülkenin yirmi üçüncü büyük ilidir.[2] batısında ege denizi ve ege adaları, güneyinde aydın, kuzeyinde balıkesir, doğusunda ise manisa vardır.
kahramanmaras;46;kahramanmaraş büyükşehir;3442213470;3442213473;ozelkalem@kahramanmaras.bel.tr;www.kahramanmaras.bel.tr;1075706;;akdeniz;kahramanmaraş, eski ve halk arasındaki adıyla maraş, türkiye'nin bir ili ve en kalabalık on sekizinci şehri. 2015 itibarıyla 1.096.610 nüfusa sahiptir. kurtuluş savaşı'nda işgale direnişi nedeniyle tbmm tarafından 5 nisan 1925'te şehre istiklal madalyası verildi. maraş olan adı, 7 şubat 1973'te kahramanmaraş olarak değiştirildi.
karabuk;78;karabük;3704130915;3704131715;karabuk@karabuk.bel.tr;www.karabuk.bel.tr;110338;370;karadeniz;karabük, karabük ilinin merkez ilçesi.
karaman;70;karaman;3382132125;3382264172;;www.karaman.bel.tr;144178;338;iç anadolu;karaman, türkiye'nin iç anadolu bölgesi'nde yer alan aynı adlı ilin merkez ilçesi. önemli bir ticaret, kültür ve sanat merkezidir. mö 8000'lerden itibaren iskan edilen karaman ve yöresi
kars;36;kars;4742123942;4742232155;kars@kars.bel.tr;www.kars.bel.tr;77674;474;doğu anadolu;kars, türkiye'nin kuzeydoğu kesiminde yer alan aynı adlı ilin merkez ilçesidir.
kastamonu;37;kastamonu;3662141048;3662149983;kastamonu@_belediyesi@hotmail.com;www.kastamonu.bel.tr.;98456;366;karadeniz;kastamonu, kastamonu ilinin merkezi olan şehirdir. gökırmak'ın bir kolu olan karaçomak deresi vadisinde kurulu bulunan şehrin denizden yüksekliği 774 metredir.
kayseri;38;kayseri büyükşehir;3522223915;3522226720;ozelkalem@kayseri.bel.tr;www.kayseri.bel.tr;1295355;352;iç anadolu;kayseri, türkiye'nin bir ili ve en kalabalık 15. şehridir. 2014 yılı itibarı ile 1.322.376 nüfusa sahiptir. akkışla, bünyan, develi, hacılar, incesu, kocasinan, melikgazi, pınarbaşı, sarıoğlan, sarız, tomarza, yahyalı, talas, özvatan, felahiye ve yeşilhisar olmak üzere 16 ilçeden oluşmaktadır. ankara ve konya'dan sonra iç anadolu'nun üçüncü büyük kenti ve sanayi merkezidir.[2] â€™nin orta kızılırmak bölümünde, erciyes dağı'nın eteklerinde modern bir il. kuzey ve kuzeybatıda yozgat, kuzey ve kuzeydoğuda sivas, doğuda kahramanmaraş, güneyde adana, güneybatıda niğde, batıda ise nevşehir illeriyle çevrilidir. dünyanın en eski şehirlerinden biri olan kayseri (eski mazaka, kaisareia), klasik çağlarda kapadokya adı verilen bölgededir. kızılırmak'ın güneyinde bulunan bu bölge, tuz gölü'nden fırat nehrine kadar uzanır. ipek yolu buradan geçer. bu nedenle her çağda tüm ulusların ilgisini çekmiş ve pek çok uygarlığın beşiği olmuştur. kayseri, mö 4000 ile ms 2000 olmak üzere 6000 yıllık bir tarihe sahiptir. mö 2000 yıllarında anadoluâ€™ya gelen hititler, kayseriâ€™ye 22 km uzaklıkta bulunan kültepe (kaniş) şehrini kurmuşlardır. kültepe, kayseri ovasının en büyük şehri ve anadoluâ€™nun en büyük höyüklerinden biridir. kültepeâ€™nin hemen yanında yer alan karumâ€™da (pazarşehir) yapılan kazılarda bu döneme ait çivi yazısı ile çeşitli yazılı tabletler bulunmuş ve bu tabletlerden asurlu tüccarlarla hititli yerliler arasındaki ticari ilişkilere ait bilgiler elde edilmiştir. kültepe, mö 4000 yılından roma devri sonuna kadar devamlı olarak yerleşme görmüştür.
kilis;79;kilis;3488131010;3488132517;bilgi@kilis.bel.tr;www.kilis.bel.tr;89422;348;güneydoğu anadolu;kilis (ermenice: Ô¿Õ«Õ¬Õ«Õ¦Õ¡, arapça: ÙƒÙ„Ø³),
kirikkale;71;kırıkkale;3182242751;3182247018;mail@kirikkale-bld.gov.tr;www.kirikkale-bld.org.tr;187480;318;iç anadolu;kırıkkale 1929'da 3000 nüfusa sahip tipik bir anadolu kasabasıdır. ilk yerleşimler tcdd güzergahında
kirklareli;39;kırklareli;2882141050;2882142550;kirklarelibelediyesi@hotmail.com;www.kirklareli.bel.tr;68004;288;marmara;kırklareli tarih boyunca konumu itibariyle birçok antik yerleşim merkezine sahip bir ilimizdir. buzul çağı sonlarında uzunca bir süre sular altında kaldığı anlaşılan kırklareli ve civarında insana dair ilk maddÃ® belgeler neolitik dönem özelliklerini vermektedir. daha sonra bilinen ilk yerleşik kabilelerden ismini alan trakya, kırklareli de dahil olmak üzere roma dönemi ortalarına kadar kısmen veya tamamen bağımsızlıklarını küçük birer krallık veya prenslik olarak devam ettirebilmişlerdir.
kirsehir;40;kırşehir;3862134488;3862134487;baskan@kirsehir.bel.tr;www.kirsehir.bel.tr;117730;86;iç anadolu;kırşehir, kırşehir ilinin merkezidir. 1941 yılında ankara da toplanan l. coğrafya kongresi'nde bu bölgeye ve bölgenin orta kızılırmak bölümü'ne alındı.şehrin nüfusu 2008 tüik verilerine göre göre 101.333 il nüfusu ise 222.735'dir. 1927'de 13.000 olan nüfusu 1990'da 73.538'e, 2000'de 88.105'e, 2007'de 99.832'ye çıkmıştır.
kocaeli;41;kocaeli büyükşehir;2623181010;2623181079;;www.kocaeli.bel.tr;1676202;262;marmara;
konya;42;konya büyükşehir;3322211400;3322211576;;www.konya.bel.tr;2079225;332;iç anadolu;"konya, türkiye'nin yüz ölçümü bakımından en büyük ili ve en kalabalık yedinci şehri. 31 ilçeden oluşan konya'da tüik'in 2014 verilerine göre 2.108.808 kişi yaşamaktadır.[2][3] trafik plaka numarası 42'dir. 1875'te kurulan konya belediyesi, 1987'de çıkarılan 3399 sayılı yasa gereğince ""büyükşehir"" statüsüne kavuşmuş olup 1989'dan beri belediye hizmetleri bu statüye göre yürütülmektedir. 2014'te 6360 sayılı kanun ile büyükşehir belediyesinin sınırları il mülki sınırları oldu."
kutahya;43;kütahya;2742236036;2742236044;bmasa@kutahya.bel.tr;www.kutahya.bel.tr;227775;274;ege;kütahya (latince: cotyaeum), içbatı anadolu bölümü'nde kütahya ilinin merkezi şehirdir.
malatya;44;malatya büyükşehir;4223771000;4222130477;info@malatya.bel.tr;www.malatya.bel.tr;762538;422;doğu anadolu;malatya, türkiye'de yer alan şehir ve ülkenin 81 ilinden biri. ülkenin en kalabalık 27. şehri olan malatya, 2015 itibarıyla 772.904 nüfusa sahiptir.[2]doğu anadolu bölgesi'nin en büyük şehridir[3] ve bölgenin yukarı fırat bölümüâ€™nde bulunur. güney ve orta anadolu bölgelerinin hemen hemen kesişme noktasında bulunması nedeniyle sosyal yapısı çeşitlilik ve zenginlik gösterir.[4][5] ilk olarak hitit döneminde kurulmuştur. o günden bugüne el değiştirerek yıkılıp yeniden yapılarak günümüze kadar gelmiştir.[6]
manisa;45;manisa büyükşehir;2362311528;2362341517;bilgi@manisa.bel.tr;www.manisa.bel.tr;1359463;236;ege;manisa'nın türkiye'deki konumu
mardin;47;mardin büyükşehir;4822125930;4822127433;bilgi@mardinbelediyesi.com;www.mardin.bel.tr;779738;482;güneydoğu anadolu;şehirde uluslararası kuruluşlarca kültür mirası kabul edilmiş, koruma altına alınmış tarihi yapılar mevcuttur. mardin farklı dini inanışlar paralelinde, sanatsal açıdan da tarihi değeri olan camiler, türbeler, kiliseler, manastır ve benzeri dini eserler barındırmaktadır. mardin, ipek yolu güzergahında olup, ilde beş han ve bir kervansaray mevcuttur.
mersin;33;mersin büyükşehir;3242318880;3242381643;baskan@mersin.bel.tr;www.mersin.bel.tr;1705774;324;akdeniz;mersin, eski adıyla içel, türkiye'nin bir ili ve en kalabalık onuncu şehri. 2015 itibarıyla 1.745.221 nüfusa sahiptir. akdeniz, aydıncık, bozyazı, mezitli, yenişehir, toroslar, anamur, silifke, tarsus, çamlıyayla, erdemli, gülnar, mut ilçeleri olmak üzere toplam 13 tane ilçesi bulunmaktadır. [1] büyükşehir belediyesi statüsü bulunmaktadır. türkiye'nin güneyinde bulunan bir liman kentidir. mersin limanı türkiye'nin en büyük limanıdır.[2]
mugla;48;muğla büyükşehir;2522141543;2522120718;info@mugla.bel.tr;www.mugla-.beld.govtr;866665;;ege;
mus;49;muş;4362121015;4362125415;karakaya4949@myney.com;www.mus.bel.tr;84121;436;doğu anadolu;muş, muş ilinin merkezi olan ve ile ismini veren şehirdir. ayrıca muş ilinin merkez ilçesidir.
nevsehir;50;nevşehir;3842131220;3842131991;;www.nevsehir.bel.tr;94189;384;iç anadolu;
nigde;51;niğde;3882324624;3882323568;farukakdogan@nigde.bel.tr;www.nigde.bel.tr;124774;388;iç anadolu;
ordu;52;ordu büyükşehir;4522332557;4522234933;belediye@ordu.bel.tr;www.ordu.bel.tr;731452;452;karadeniz;
osmaniye;80;osmaniye;3288141226;3288134536;osmaniyebelediyesi@osmaniye-bld.gov.tr;www.osmaniye-bld.gov.tr;213045;328;akdeniz;
rize;53;rize;4642130190;4642130193;belediye@rize.bel.tr;www.rize.bel.tr;104991;464;karadeniz;il = rize
sakarya;54;sakarya büyükşehir;2642745020;2642775404;;www.sakarya.bel.tr;917373;264;marmara;sakarya'nın kuzeyinde karadeniz, batısında kocaeli, bursa, doğusunda düzce ve güneyinde de bolu ile bilecik bulunmaktadır. sakarya nehri, sakarya'nın karasu ilçesinde karadeniz'e dökülür.
samsun;55;samsun büyükşehir;3624311011;3624312232;ozelkalem@samsun.bel.tr;www.samsun.bel.tr;1261810;362;karadeniz;samsun, türkiye'nin bir ili ve en kalabalık on altıncı şehri. karadeniz bölgesi'nin orta karadeniz bölümü'nde yer alır ve bölgenin en kalabalık şehridir.[2] on yedi ilçenin bulunduğu samsun'un genel yönetimi samsun büyükşehir belediyesi ve valilik tarafından sağlanmaktadır.[3][4] kuzeyinde karadeniz, doğusunda ordu, güneyinde tokat ve amasya, batısında ise çorum ve sinop illeri ile çevrilidir.[5]
sanliurfa;63;şanlıurfa büyükşehir;4143131634;4143160862;fakibaba@sanliurfa.bel.tr;www.sanlliurfa.bel.tr;1801980;414;güneydoğu anadolu;şanlıurfa'nın 13 ilçesi vardır. ortalama yükseltisi 518 metre olan şanlıurfa, 19.451 km2'lik yüz ölçümü ile türkiye'nin en büyük yedinci ilidir.
siirt;61;siirt;4842231213;4842239888;bilgi@siirt.bel.tr;www.siirt.bel.tr;136203;484;güneydoğu anadolu;siirt, siirt ili'nin merkezi ilçesi ve şehirdir.
