il_adi;belediye_ismi;belediye_tel;belediye_faks;belediye_mail;belediye_web;nufus
bolu;mudurnu;3744213031;3744213447;mudurnubelediyesi@mudurnu.bel.tr;www.mudurnu.bel.tr;5166
bolu;seben;3744113180;3744112096;bilgi@seben.bel.tr;www.seben.bel.tr;2588
bolu;yeniçaða;3743414506;3743412728;yenicagabelediyesi@hotmail.com;www.yenicaga.bel.tr;4935
burdur;aðlasun;2487312664;2487312642;aglasun_bld@hotmail.com;;4113
burdur;altýnyayla;2485212002;2485212407;alt_bld@hotmail.com;;3271
burdur;bucak;2483251001;2483253181;info@bucak.bel.tr;www.bucak.bel.tr;42108
burdur;çavdýr;2484271009;2484271402;cavdir@cavdir.bel.tr;www.cavdir.bel.tr;4894
burdur;çeltikçi;2487112006;2487112041;;;2169
burdur;gölhisar;2484113117;2484113041;info@golhisar.bel.tr;www.golhisar.bel.tr;16515
burdur;karamanlý;2485313004;2485313019;karamanli@karamanli.bel.tr@;www.karamanli.bel.tr;5578
burdur;kemer;2485112002;2485112622;kemerbel@hotmail.com;;1867
burdur;tefenni;2484912015;2484913400;bayramkavak15@hotmail.com;www.tefenni.bel.tr;5049
burdur;yeþilova;2486181012;2486181063;yesilova_belediyesi15@hotmail.com@;www.yesilova.bel.tr;5726
bursa;nilüfer;2244512150;2242959526;nilufer@nilufer.bel.tr;www.nilufer.bel.tr;358265
bursa;osmangazi;2242707070;2242707073;baskan@osmangazi.bel.tr;www.osmangazi.bel.tr;802620
bursa;yýldýrým;2243616616;2243619451;akmasa@yildirim.bel.tr;www.yildirim.bel.tr;637888
bursa;büyükorhan;2248412142;2248412003;buyukorhanbelediyesi@gmail.com;www.buyukorhan.bel.tr;11913
bursa;gemlik;2245134520;2245134528;gemlikbelediyesi@gmail.com;www.gemlik.bel.tr;101389
bursa;gürsu;2243715000;2243715014;info@gursu.bel.tr;www.gursu.bel.tr;68872
bursa;harmancýk;2248812020;2248812415;harmancik@harmancik.bel.tr;www.harmancik.bel.tr;7091
bursa;inegöl;2247151010;2247151481;belediye@inegol.bel.tr;www.inegol.bel.tr;236168
bursa;iznik;2247571010;2247578191;yazi_isleri@iznik.bel.tr;www.iznik.bel.tr;43287
bursa;karacabey;2246768631;2246768639;bilgi@karacabey.bel.tr;www.karacabey.bel.tr;80527
bursa;keles;2248612052;2248612243;iletisim@keles.bel.tr;www.keles.bel.tr;13639
bursa;kestel;2243721001;2243728182;kestelbel@kestel.bel.tr;www.kestel.bel.tr;51872
bursa;mudanya;2245441650;2245441657;mudanyabelediyesi@gmail.com;www.mudanya.bel.tr;77461
bursa;muþtafakemalpaþa;2246131058;2246131285;mkpbld@muþtafakemalpasa.bel.tr;www.muþtafakemalpasa.bel.tr;99999
bursa;orhaneli;2248171005;2248171377;info@orhaneli.bel.tr;www.orhaneli.bel.tr;22175
bursa;orhangazi;2245733800;2245731717;orhangazi@orhangazi.bel.tr;www.orhangazi.bel.tr;75672
bursa;yeniþehir;2247730016;2247730029;info@bursa-yenisehir.bel.tr;www.bursa-yenisehir.bel.tr;52132
çanakkale;ayvacýk;2867121011;2867121223;bilgi17@çanakkaleayvacik.bel.tr;www.çanakkaleayvacik.bel.tr;7758
çanakkale;bayramiç;2867731016;2867733113;bilgi@bayramic.bel.tr;www.bayramic.bel.tr;14188
çanakkale;biga;2863164934;2863164939;;www.bigabelediyesi.com;45969
çanakkale;bozcaada;2866978081;2866978081;bozcaadabel@ttmail.com;www.bozcaada.bel.tr;2643
çanakkale;çan;2864166090;2864162366;info@can.bel.tr;www.can.bel.tr;29725
çanakkale;eceabat;2868141242;2868141036;yazi@eceabat.bel.tr;www.eceabat.bel.tr;5541
çanakkale;ezine;2866185235;2866181625;ezinebelediye@ttmail.com;www.ezine.bel.tr;14002
çanakkale;gelibolu;2865669333;2865662825;bilgi@gelibolu.bel.tr;www.gelibolu.bel.tr;27927
çanakkale;gökçeada;2868873052;2868873019;gokceadabelediyesi@gokceada.bel.tr;www.gokceada.bel.tr;6454
çanakkale;lapseki;2865121044;2865121018;info@lapseki.bel.tr;www.lapseki.bel.tr;11062
çanakkale;yenice;2864743242;2864743495;yenicebld@ttmail.com;www.yenicebelediyesi.bel.tr;7423
çankýrý;atkaracalar;3767121003;3767121011;atkabele@ttmail.com;www.atkaracalar.bel.tr;2655
çankýrý;bayramören;3767358016;3767358004;bayramorenbld@hotmail.com;www.bayramoren.bel.tr;702
çankýrý;çerkeþ;3767661012;3767662825;cerkesbelediye@hotmail.com;www.cerkes.bel.tr;8460
çankýrý;eldivan;3763112013;3763112178;eldbsk1932@hotmail.com;www.eldivan.bel.tr;3215
çankýrý;ýlgaz;3764161003;3764161571;baskan@ilgaz.bel.tr;;7571
çankýrý;kýzýlýrmak;3763241094;3763241764;;www.kizilirmak.bel.tr;2127
çankýrý;korgun;3763431265;3763431263;korgunbld@hotmail.com;;1987
çankýrý;kurþunlu;3764651317;3764651810;bilgi@kursunlu.bel.tr;www.kursunlu.bel.tr;4601
çankýrý;orta;3766151006;3766151224;ortabld@hotmail.com;www.orta.bel.tr;3429
çankýrý;þabanözü;3765181050;3765181876;sabbeled@hotmail.com;www.sabanozu.bel.tr;8157
çankýrý;yapraklý;3763612316;3763612640;belgin.nuroglu@hotmail.com;www.yaprakli.bel.tr;2130
çorum;alaca;3644115791;3644115175;alaca@alaca.bel.tr;www.alaca.bel.tr;20751
çorum;bayat;3643813064;3643813074;bayatbelediyesi@mynet.com;www.çorumbayat.bel.tr;6524
çorum;boðazkale;3644522830;3644522025;bogazkalebelediyesi@hotmail.com;;1349
çorum;dodurga;3647116002;3647116041;dodurgabelediye@hotmail.com;www.dodurga.bel.tr;2751
çorum;iskilip;3645116062;3645116020;iskilipbel@yahoo.com;www.iskilip.bel.tr;19953
çorum;kargý;3646512893;3646512008;kargibelediyesi@kargi.bel.tr;www.kargi.bel.tr;5296
çorum;laçin;3647455483;3647455166;;www.lacin.bel.tr;1326
çorum;mecitözü;3644612138;3644612247;;;4834
çorum;oðuzlar;3645617032;3645612150;oguzlarbelediyesi@oguzlar.bel.tr;www.oguzlar.bel.tr;3384
çorum;ortaköy;3644914961;3644914013;çorumortakoybelediyesi19@gmail.com;;2656
çorum;osmancýk;3646114323;3646119984;baskan@osmancik.bel.tr;www.osmancikbel.tr;27391
çorum;sungurlu;3643118169;3643114514;sungurlubelediyesi@hotmail.com;www.sungurlu-bld.gov.tr;32585
çorum;uðurludað;3643612020;3643612125;husnukiday@ugurludag.bel.tr.;www.ugurludag.bel.tr.;3625
denizli;pamukkale;2582722280;2582722281;pamukkalebld@hotmail.com;;311496
denizli;acýpayam;2585181222;2585183325;bilgi@acipayam.bel.tr;www.acipayam.bel.tr;55971
denizli;babadað;2584812006;2584812038;babadagbelediyesi@hotmail.com;www.babadag.bel.tr;6707
denizli;baklan;2587812004;2587812260;baklanbelediyesi@hotmail.com;www.baklan.bel.tr;5934
denizli;bekilli;2587912013;2587912087;belediye@bekilli.bel.tr;www.bekilli.bel.tr;7751
denizli;beyaðaç;2586916016;2586916012;beyagac_belediyesi@hotmail.com;www.beyagac.bel.tr;7116
denizli;bozkurt;2588315010;2588314390;baskan@bozkurt.bel.tr;www.bozkurt.bel.tr;12279
denizli;buldan;2584313583;2584313008;info@buldan.bel.tr;www.buldan.bel.tr;27558
denizli;çal;2587513005;2587513413;calbelediye@hotmail.com;www.cal.bel.tr;20587
denizli;çameli;2585715028;2585716268;camelibld@ttmail.com;www.cameli.bel.tr;19315
denizli;çardak;2588512160;2588512059;info@cardak.bel.tr;www.cardak.bel.tr;9386
denizli;çivril;2587131008;2587132528;civrilbl@mynet.com;www.civril.bel.tr;60615
denizli;güney;2584512010;2584512652;guneybld@ttmail.com;www.guney.bel.tr;10796
denizli;honaz;2588113107;2588113789;honaz@honaz.bel.tr;www.honaz.bel.tr;32324
denizli;kale;2586713121;2586713120;kalebelediyesi@hotmail.com;www.kale.bel.tr;21293
denizli;sarayköy;2584151007;2584153530;info@saraykoy.bel.tr;www.saraykoy.bel.tr;29650
denizli;serinhisar;2585915180;2585912892;serinhisarbelediyesi@hotmail.com;www.serinhisar.bel.tr;14817
denizli;tavas;2586131020;2586131503;tavasbelediyesi@hotmail.com;www.tavas.bel.tr;47044
denizli;merkezefendi;;;;;262825
diyarbakýr;bismil;4124153616;4124153572;bismil_belediye21@hotmail.com;www.bismil.bel.tr;110956
diyarbakýr;çermik;4124612001;4124613599;cermik@cermik.bel.tr;www.cermik.bel.tr;50657
diyarbakýr;çýnar;4125112178;4125112161;cinarbelediye@mynet.com;www.cinar.bel.tr;68530
diyarbakýr;çüngüþ;4125412008;4125412031;cungusbelediyesi@ttmail.com;www.cungus.bel.tr;13097
diyarbakýr;dicle;4125612020;4125612162;dicle_belediyesi@hotmail.com;www.dicle.bel.tr;40593
diyarbakýr;eðil;4125812005;4125812206;egilbldbsk@hotmail.com;;23066
diyarbakýr;ergani;4126115021;4126115949;erganibelediyesi@hotmail.com;www.ergani.bel.tr;121072
diyarbakýr;hani;4126512106;4126512106;hanibelediyesi21@hotmail.com;www.hani.bel.tr;32814
diyarbakýr;hazro;4126712002;4126712002;hazrobelediyesi21@hotmail.com;;17220
diyarbakýr;kocaköy;4128112002;4128112181;kocakoybeleçdiyesi@ttnet.net;;16371
diyarbakýr;kulp;4128312036;4128312399;kulpbelediyesi@hotmail.com.tr;www.kulp.bel.tr;36796
