id;il_kod;province;universities__name;universities__phone;universities__fax;universities__website;universities__email;universities__adress;universities__rector
25;6;ANKARA;TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ;0 (312) 292 40 05;0 (312) 292 40 99;www.etu.edu.tr;bilgi@etu.edu.tr;SÖĞÜTÖZÜ CADDESİ NO:43 ÇANKAYA/ANKARA;ADEM ŞAHİN
26;6;ANKARA;TÜRK HAVA KURUMU ÜNİVERSİTESİ;0 (312) 444 84 58;0 (312) 342 84 60;http://www.thk.edu.tr;rektor@thk.edu.tr;Bahçekapı Mahallesi Okul Sokak No:11 Etimesgut / ANKARA;AHMET ERMAN AKBULUT
27;6;ANKARA;UFUK ÜNİVERSİTESİ;0 (3125) 86 70 41;0 (312) 586 71 24;http://www.ufuk.edu.tr;ozelkalem@ufuk.edu.tr;Ufuk Üniversitesi Rektörlüğü  Kızılcaşar Mahallesi İncek Bulvarı 06836 İncek/Gölbaşı/ANKARA;TEVFİK TEZCANER
28;6;ANKARA;YÜKSEK İHTİSAS ÜNİVERSİTESİ;0 (312) 286 36 01;0 (312) 286 36 05;http://yiu.edu.tr;yiu@yiu.edu.tr;Oğuzlar Mahallesi 1377 Sokak No:21 Balgat ANKARA;RABET GÖZİL
29;7;ANTALYA;AKDENİZ ÜNİVERSİTESİ;0 (242) 227 44 00;0 (242) 227 49 58;http://www.akdeniz.edu.tr;info@akdeniz.edu.tr;Akdeniz Üniversitesi Kampüs Antalya;MUSTAFA ÜNAL
30;7;ANTALYA;ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ;0 (242) 510 60 60;0 (242) 518 11 99;http://www.alanya.edu.tr/;alku@alanya.edu.tr;Kestel Mahallesi Alanya Alaaddin Keykubat Üniversitesi Kampüsü Alanya/ANTALYA;AHMET PINARBAŞI
31;7;ANTALYA;ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ;0 (242) 513 69 69;0 (242) 513 69 66;http://www.ahep.edu.tr;info@ahep.edu.tr;Cikcilli Beldesi, Saraybeleni Mahallesi, Saraybeleni Cad. No:7, PK 80 07400, Alanya, ANTALYA;MEHMET DURDU ÖNER
32;7;ANTALYA;ANTALYA AKEV ÜNİVERSİTESİ;0 (242) 444 12 64;0 (242) 777 10 41;www.akev.edu.tr;h.aktas@akev.edu.tr;Kadriye Mah. Celal Bayar Cad. No:5-6 Serik/ANTALYA;MEHMET UFUK TUTAN
33;7;ANTALYA;ANTALYA BİLİM ÜNİVERSİTESİ;0 (242) 245 00 00;0 (242) 245 01 00;http://www.antalya.edu.tr/;info@antalya.edu.tr;Farabi Cad. No:2 Döşemealtı / ANTALYA;İSMAİL YÜKSEK
34;8;ARTVİN;ARTVİN ÇORUH ÜNİVERSİTESİ;0 (466) 215 10 10;0 (466) 215 10 11;http://www.artvin.edu.tr;artvin@artvin.edu.tr;Artvin Çoruh Üniversitesi Rektörlüğü Fidanlık Mah.Kapı Nu.110 08000 Seyitler Yerleşkesi-ARTVİN;FAHRETTİN TİLKİ
35;9;AYDIN;AYDIN ADNAN MENDERES ÜNİVERSİTESİ;0 (256) 218 20 30;0 (256) 214 66 88;http://www.adu.edu.tr;ozelkalem@adu.edu.tr;AYTEPE MEVKİ AYDIN;CAVİT BİRCAN
36;10;BALIKESİR;BALIKESİR ÜNİVERSİTESİ;0 (266) 612 14 00;0 (266) 612 14 12;http://www.balikesir.edu.tr/;bau@balikesir.edu.tr;Çağış Yerleşkesi. Bigadiç Yolu 17. Km. BALIKESİR;KERİM ÖZDEMİR
37;10;BALIKESİR;BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;0 (266) 717 01 17;0 (266) 717 00 30;http://www.bandirma.edu.tr;rektorluk@bandirma.edu.tr;Yeni Mh. Şehit Astsubay Mustafa Soner Varlık Cd. No:77 Bandırma/BALIKESİR;SÜLEYMAN ÖZDEMİR
38;11;BİLECİK;BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;0 (228) 214 11 11;0 (228) 214 10 17;http://www.bilecik.edu.tr/;genelsekreterlik@bilecik.edu.tr;Bilecik Şeyh Edebali Üniversitesi Rektörlüğü 11210 Merkez Bilecik;İBRAHİM TAŞ
39;12;BİNGÖL;BİNGÖL ÜNİVERSİTESİ;0 (426) 216 00 12-15;0 (426) 215 10 20;http://www.bingol.edu.tr;ozelkalem@bingol.edu.tr;Selahaddin-i Eyyübi Mah. Aydınlık Cad. No:1 BİNGÖL;İBRAHİM ÇAPAK
40;13;BİTLİS;BİTLİS EREN ÜNİVERSİTESİ;0 (434) 222 00 00;0 (434) 222 01 01;http://www.beu.edu.tr/Default.aspx;info@beu.edu.tr;Beş Minare Mah. Rahva Yerleşkesi - Bitlis;ERDAL YARDIM
41;14;BOLU;BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ;0 (374) 254 10 00;0 (374) 253 45 06;http://www.ibu.edu.tr/;bilgi@ibu.edu.tr;Abant İzzet Baysal Üniversitesi Gölköy Kampüsü 14280 BOLU;MUSTAFA ALİŞARLI
42;15;BURDUR;BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;0 (248) 213 10 00;0 (248) 212 27 18;http://www.mehmetakif.edu.tr;rektorluk@mehmetakif.edu.t r;İstiklal Yerleşkesi BURDUR;ADEM KORKMAZ
43;16;BURSA;BURSA TEKNİK ÜNİVERSİTESİ;0 (224) 300 33 04;0 (224) 300 33 29;http://btu.edu.tr/;ozelkalem@btu.edu.tr;Mimar Sinan Mahallesi Mimar Sinan Bulvarı Eflak Caddesi No:177 16310 Yıldırım/BURSA;ARİF KARADEMİR
44;16;BURSA;BURSA ULUDAĞ ÜNİVERSİTESİ;0 (224) 294 00 00;0 (224) 294 00 37;http://www.uludag.edu.tr/;ozelkalem@uludag.edu.tr;Görükle Kampusu 16059 Nilüfer/BURSA;YUSUF ULCAY
45;16;BURSA;FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU;0 (224) 220 54 54;0 (224) 223 27 31;http://www.faruksarac.edu.tr;info@faruksarac.edu.tr;Kocanaip Mah. Kaplıca Cad. No:3 16060 Muradiye;-
46;17;ÇANAKKALE;ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ;0 (286) 218 06 07;0 (286) 218 06 08;www.comu.edu.tr;ozelkalem@comu.edu.tr;Çanakkale Onsekiz Mart Üniversitesi, Terzioğlu Kampüsü, Rektörlük Binası , A Blok  Merkez/ÇANAKKALE;YÜCEL ACER
47;18;ÇANKIRI;ÇANKIRI KARATEKİN ÜNİVERSİTESİ;0 (376) 218 95 00;0 (376) 218 95 09;www.karatekin.edu.tr;cku@karatekin.edu.tr;Uluyazı Kampüsü Binası / Çankırı;HASAN AYRANCI
48;19;ÇORUM;HİTİT ÜNİVERSİTESİ;0 (364) 219 19 19;0 (364) 219 19 38;http://www.hitit.edu.tr/;rektorluk@hitit.edu.tr;Hitit Üniversitesi Kuzey Kampüsü Çevre Yolu Bulvarı PK:19030 ÇORUM;REHA METİN ALKAN
49;20;DENİZLİ;PAMUKKALE ÜNİVERSİTESİ;0 (258) 296 20 20;0 (258) 296 23 33;http://www.pau.edu.tr;ozelkalem@pau.edu.tr;Pamukkale Üniversitesi Rektörlüğü Kınıklı Yerleşkesi 20070 DENİZLİ;HÜSEYİN BAĞ
50;21;DİYARBAKIR;DİCLE ÜNİVERSİTESİ;0 (412) 241 10 01;0 (412) 241 10 59;www.dicle.edu.tr;gensek@dicle.edu.tr;21280 Kıtılbil Mahallesi Sur / Diyarbakır;TALİP GÜL
51;22;EDİRNE;TRAKYA ÜNİVERSİTESİ;0 (284) 223 42 10-11-12;0 (284) 22 342 03;http://www.trakya.edu.tr/;genelsekreterlik@trakya.edu.tr;Trakya Üniversitesi Rektörlüğü 22030 Balkan Yerleşkesi / EDİRNE;ERHAN TABAKOĞLU
52;23;ELAZIĞ;FIRAT ÜNİVERSİTESİ;0 (424) 212 85 10;0 (424) 212 27 17;http://www.firat.edu.tr/;okalem@firat.edu.tr;Fırat Üniversitesi Rektörlüğü 23119 ELAZIĞ;KUTBEDDİN DEMİRDAĞ
53;24;ERZİNCAN;ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;0 (444) 226 66 66;0 (446) 226 66 65;http://www.erzincan.edu.tr;rektorluk@erzincan.edu.tr;Fatih Mahallesi Erzincan Üniversitesi Rektörlüğü - Erzincan/Merkez;İLYAS ÇAPOĞLU
54;25;ERZURUM;ATATÜRK ÜNİVERSİTESİ;442 231 10 01;442 236 10 14;http://www.atauni.edu.tr;ata@atauni.edu.tr;Atatürk Üniversitesi Rektörlüğü Yakutiye/Erzurum;ÖMER ÇOMAKLI
55;25;ERZURUM;ERZURUM TEKNİK ÜNİVERSİTESİ;0 (442) 666 25 25;0 (442) 666 25 32;http://www.erzurum.edu.tr/;bilgi@erzurum.edu.tr;ERZURUM TEKNİK ÜNİVERSİTESİ Ömer Nasuhi Bilmen Mah. Havaalanı Yolu Cad. No:53 YAKUTİYE/ERZURUM;MUAMMER YAYLALI
56;26;ESKİŞEHİR;ANADOLU ÜNİVERSİTESİ;0 (222) 335 05 81;0 (222) 335 36 16;http://www.anadolu.edu.tr/;gensek@anadolu.edu.tr;Anadolu Üniversitesi Yunus Emre Kampusü, 26470 Tepebaşı/ESKİŞEHİR;-
57;26;ESKİŞEHİR;ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ;0 (222) 239 71 48;0 (222) 239 54 00;http://www.ogu.edu.tr;rektor@ogu.edu.tr;Eskişehir Osmangazi Üniversitesi Meşelik Yerleşkesi 26480 Eskişehir;KEMAL ŞENOCAK
58;26;ESKİŞEHİR;ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;-;-;-;-;-;-
59;27;GAZİANTEP;GAZİANTEP BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;-;-;-;-;-
60;27;GAZİANTEP;GAZİANTEP ÜNİVERSİTESİ;0 (342) 360 10 10;0 (342) 360 43 77;http://www.gantep.edu.tr;reksek@gantep.edu.tr;GAZİANTEP ÜNİVERSİTESİ REKTÖRLÜĞÜ;ALİ GÜR
61;27;GAZİANTEP;HASAN KALYONCU ÜNİVERSİTESİ;0 (342) 211 80 80;0 (342) 211 80 81;www.hku.edu.tr;info@hku.edu.tr;Havalimanı Yolu üzeri 8.km Şahinbey/GAZİANTEP;TAMER YILMAZ
62;27;GAZİANTEP;SANKO ÜNİVERSİTESİ;0 (342) 211 65 00;0 (342) 211 65 05;http://www.sanko.edu.tr;info@sanko.edu.tr;İncilipınar Mah. Gazi Muhtar Paşa Bulv. No:36 27090 Şehitkamil/ GAZİANTEP;GÜNER DAĞLI
63;28;GİRESUN;GİRESUN ÜNİVERSİTESİ;0 (454) 310 10 00;0 (454) 310 10 16;http://www.giresun.edu.tr/;rektor@giresun.edu.tr;Giresun Üniversitesi | Giresun;CEVDET COŞKUN
64;29;GÜMÜŞHANE;GÜMÜŞHANE ÜNİVERSİTESİ;0 (456) 233 10 00;0 (456) 233 11 19;http://www.gumushane.edu.tr;gumushane@gumushane.edu.tr;Gümüşhane Üniversitesi Rektörlüğü Bağlarbaşı Mh.;HALİL İBRAHİM ZEYBEK
65;30;HAKKARİ;HAKKARİ ÜNİVERSİTESİ;0 (438) 212 12 12;0 (438) 212 12 11;www.hakkari.edu.tr / www.hu.edu.tr;rektorluk@hakkari.edu.tr;Merzan Mah. Küçük Sanayi Sitesi arkası Merkez/HAKKARİ;ÖMER PAKİŞ
66;31;HATAY;HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;0 (326) 221 33 17 - 18 - 19;0 (326) 221 33 20;http://www.mku.edu.tr;rektorlukyaziisleri@mku.edu.tr;Alahan Tayfur Sökmen Kampüsü Dış kapı no:35 Adres No:3330417886 Alahan/Antakya/Hatay;HASAN KAYA
67;31;HATAY;İSKENDERUN TEKNİK ÜNİVERSİTESİ;0 (326) 613 56 00;0 (326) 613 56 13;www.iste.edu.tr;ofis@iste.edu.tr;İskenderun Teknik Üniversitesi Rektörlüğü Merkez Kampüs 31200 İskenderun/HATAY;TÜRKAY DERELİ
68;32;ISPARTA;ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;-;-;-;-;-;-
69;32;ISPARTA;SÜLEYMAN DEMİREL ÜNİVERSİTESİ;0 (246) 211 10 00;0 (246) 237 04 31;http://www.sdu.edu.tr/;bidb@sdu.edu.tr;Süleyman Demirel Üniversitesi Batı Yerleşkesi Rektörlük Binası 32260  Çünür / ISPARTA;İLKER HÜSEYİN ÇARIKÇI
70;33;MERSİN;ÇAĞ ÜNİVERSİTESİ;0 (324) 651 48 00;0 (324) 651 48 11;http://www.cag.edu.tr/;cag@cag.edu.tr;Adana-Mersin D 400 Karayolu Üzeri 33800 Yenice-Tarsus/MERSİN;ÜNAL AY
71;33;MERSİN;MERSİN ÜNİVERSİTESİ;0 (324) 361 00 01-13001-13003;0 (324) 361 00 22;http://www.mersin.edu.tr/idari/ozel-kalem-;ozelkalem@mersin.edu.tr;Mersin Üniversitesi Çiftlikköy Kampusu Rektörlük Binası 33343 Yenişehir/MERSİN;AHMET ÇAMSARI
72;33;MERSİN;TARSUS ÜNİVERSİTESİ;-;-;-;-;-;-
73;33;MERSİN;TOROS ÜNİVERSİTESİ;0 (324) 325 33 00;0 (324) 325 33 01;www.toros.edu.tr;rektorluk@toros.edu.tr;Bahçelievler Kampüsü 1857 Sokak No:12 33140 Yenişehir MERSİN;HALUK KORKMAZYÜREK
74;34;İSTANBUL;ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ;0 (216) 500 44 44;0 (216) 577 50 48;http://www.acibadem.edu.tr;info@acibadem.edu.tr;İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul;AHMET ŞAHİN
75;34;İSTANBUL;ALTINBAŞ ÜNİVERSİTESİ;0 (212) 604 01 00;0 (212) 445 92 55;http://www.altinbas.edu.tr/tr;ik@altinbas.edu.tr;Mahmutbey, Dİlmenler Cd. No. 26 Bağcılar, İstanbul;ÇAĞRI ERHAN
76;34;İSTANBUL;ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;0 (216) 455 77 70-74;0 (216) 548 28 17;http://www.adiguzel.edu.tr/;iletisim@adiguzel.edu.tr;Yenişehir Mahallesi Barajyolu Caddesi Çağlayan Sokak No:18 Ataşehir / İstanbul;-
77;34;İSTANBUL;AVRUPA MESLEK YÜKSEKOKULU;0 (850) 450 28 28;0 (212) 547 00 68;www.avrupa.edu.tr;ozelkalem@avrupa.edu.tr;Ahmet Haşim Sokak 5/1 Kazlıçeşme-Zeytinburnu/İSTANBUL;-
78;34;İSTANBUL;BAHÇEŞEHİR ÜNİVERSİTESİ;0 (212) 381 00 00;0 (212) 381 00 20;http://www.bahcesehir.edu.tr;info@bahcesehir.edu.tr;Çırağan Caddesi Osmanpaşa Mektebi Sokak No: 4-6 3453 Beşiktaş, İSTANBUL / TÜRKİYE;ŞENAY YALÇIN
79;34;İSTANBUL;BEYKENT ÜNİVERSİTESİ;0 (212) 444 19 97 - 2002;0 (212) 289 64 87;www.beykent.edu.tr;ozelkalem@beykent.edu.tr;Ayazağa Mahallesi, Hadım Koru Yolu Caddesi, No:19 Sarıyer/İSTANBUL;MEHMET EMİN KARAHAN
80;34;İSTANBUL;BEYKOZ ÜNİVERSİTESİ;444 25 69;0 (216) 413 95 20;www.beykoz.edu.tr;bilgi@beykoz.edu.tr;Vatan Cad. No: 69 Kavacık Beykoz İstanbul;MEHMET DURMAN
81;34;İSTANBUL;BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;0 (212) 523 22 88;0 (212) 621 75 78;http://www.bezmialem.edu.tr/;info@bezmialem.edu.tr;Adnan Menderes Bulvarı Vatan Cad. 34093 Fatih/İSTANBUL;RÜMEYZA KAZANCIOĞLU
82;34;İSTANBUL;BİRUNİ ÜNİVERSİTESİ;444 82 76;0 (212) 416 46 46;http://www.biruni.edu.tr/;info@biruni.edu.tr;10. Yıl Caddesi Protokol Yolu No: 45 (Eski Kozlu Mezarlığı altı, Silivrikapı ve Belgratkapı İett durakları arası) 34010 Topkapı İstanbul;ADNAN YÜKSEL
83;34;İSTANBUL;BOĞAZİÇİ ÜNİVERSİTESİ;0 (212) 359 54 00;0 (212) 265 63 57;http://www.boun.edu.tr;kurumsaliletisim@boun.edu.tr;Boğaziçi Üniversitesi 34342 Bebek/Istanbul Türkiye;MEHMED ÖZKAN
84;34;İSTANBUL;DOĞUŞ ÜNİVERSİTESİ;444 79 97;0 (216) 327 96 31;http://www.dogus.edu.tr;rektor@dogus.edu.tr;Doğuş Üniversitesi Zeamet sk. 34722 Kadıköy/İstanbul;ABDULLAH DİÇKOL
85;34;İSTANBUL;FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;0 (212) 521 81 00;0 (212) 521 84 84;www.fsm.edu.tr;fsm@fsm.edu.tr;Zeyrek Mah. Büyük karaman Cad. No:53 FATİH/ İSTANBUL;MUSA DUMAN
86;34;İSTANBUL;FENERBAHÇE ÜNİVERSİTESİ;-;-;-;-;-;-
87;34;İSTANBUL;GALATASARAY ÜNİVERSİTESİ;0 (212) 227 44 80;0 (212) 259 23 32;http://www.gsu.edu.tr;info@gsu.edu.tr;Galatasaray Üniversitesi Çırağan Cad. No:36 34349 Ortaköy/İstanbul;EYÜP ERTUĞRUL KARSAK
88;34;İSTANBUL;HALİÇ ÜNİVERSİTESİ;0 (212) 924 24 44;0 (212) 999 78 52;www.halic.edu.tr;ibrahimyeter@halic.edu.tr;Sütlüce Mahallesi, İmrahor Caddesi, No:11, Beyoğlu, istanbul;ABDURRAHMAN EREN
89;34;İSTANBUL;IŞIK ÜNİVERSİTESİ;0 (216) 528 70 14;0 (216) 712 14 68;http://isikun.edu.tr;berna.avci@isikun.edu.tr;Işık Üniversitesi, Meşrutiyet Köyü, Üniversitesi Sok. No:2 ŞİLE/İSTANBUL;CEMAL İBİŞ
90;34;İSTANBUL;İBN HALDUN ÜNİVERSİTESİ;0 (212) 692-02 12/10 05;0 (212) 551 64 64;www.ibnhaldun.edu.tr;info@ibnhaldun.edu.tr;Ulubatlı Hasan Cd. No:2 34494 Başakşehir / İstanbul;RECEP ŞENTÜRK
91;34;İSTANBUL;İSTANBUL AREL ÜNİVERSİTESİ;0 (212) 867 25 00;0 (212) 860 04 81;http://www.arel.edu.tr;arel@arel.edu.tr;İstanbul Arel Üniversitesi -Türkoba Mah. Erguvan Sokak No: 26/K Tepekent- B.Çekmece/İSTANBUL;İHSAN DERMAN
92;34;İSTANBUL;İSTANBUL ATLAS ÜNİVERSİTESİ;-;-;-;-;-;-
93;34;İSTANBUL;İSTANBUL AYDIN ÜNİVERSİTESİ;444 14 28;0 (212) 425 57 59;http://www.aydin.edu.tr;info@aydin.edu.tr;Florya Halit Aydın Kampüsü Beşyol Mah. İnönü Cad. No: 38 Sefaköy- Küçükçekmece/İSTANBUL;YADİGAR İZMİRLİ
94;34;İSTANBUL;İSTANBUL AYVANSARAY ÜNİVERSİTESİ;444 76 96;0 (212) 621 45 03;www.ayvansaray.edu.tr;info@ayvansaray.edu.tr;Ayvansaray Cd. No:45 Balat Fatih / İstanbul;SERMİN ÖRNEKTEKİN
95;34;İSTANBUL;İSTANBUL BİLGİ ÜNİVERSİTESİ;0 (212) 311 50 00;0 (212) 216 24 14;www.bilgi.edu.tr;info@bilgi.edu.tr;Eski Silahtarağa Elektrik Santralı Kazım Karabekir Cad. No: 2/13 34060 Eyüpsultan İstanbul;MUSTAFA EGE YAZGAN
96;34;İSTANBUL;İSTANBUL BİLİM ÜNİVERSİTESİ;0 (212) 213 64 86;0 (212) 213 92 07;http://www.istanbulbilim.edu.tr;info@istanbulbilim.edu.tr;Büyükdere Cad. No:120 Esentepe-Şişli İSTANBUL;ÇAVLAN ÇİFTÇİ
97;34;İSTANBUL;İSTANBUL ESENYURT ÜNİVERSİTESİ;Santral 444 91 23 / Rektörlük D.;0 (212) 699 09 90;http://www.esenyurt.edu.tr;bilgi@esenyurt.edu.tr;İnönü Mah. Doğan Araslı Bulvarı No:79 Esenyurt-İSTANBUL;SUDİ APAK
98;34;İSTANBUL;İSTANBUL GEDİK ÜNİVERSİTESİ;0 (216) 452 45 85;0 (216) 452 87 17;www.gedik.edu.tr;info@gedik.edu.tr;Cumhuriyet Mahallesi İlkbahar Sokak No: 1 Yakacık 34876 Kartal İstanbul;ZAFER UTLU
99;34;İSTANBUL;İSTANBUL GELİŞİM ÜNİVERSİTESİ;0 (212) 422 70 00;0 (212) 422 74 01;www.gelisim.edu.tr;bilgi@gelisim.edu.tr;Cihangir Mahallesi Şehit Jandarma Komando Er Hakan Öner Sk. No:1 Avcılar / İSTANBUL;BURHAN AYKAÇ
100;34;İSTANBUL;İSTANBUL KENT ÜNİVERSİTESİ;0 (212 610 10 10;0 (212) 244 53 68;www.kent.edu.tr;info@kent.edu.tr;Cihangir Mahallesi Sıraselviler Caddesi No:71 34433 Beyoğlu İSTANBUL;-
101;34;İSTANBUL;İSTANBUL KÜLTÜR ÜNİVERSİTESİ;0 (212) 498 41 41;0 (212) 498 43 06;www.iku.edu.tr;kultur@iku.edu.tr;Ataköy Yerleşkesi, 34156 Bakırköy / İSTANBUL;ERHAN GÜZEL
102;34;İSTANBUL;İSTANBUL MEDENİYET ÜNİVERSİTESİ;0 (216) 280 33 33;0 (216) 602 28 05;http://www.medeniyet.edu.tr;ozelkalem@medeniyet.edu.tr;Dumlupınar mahallesi, D-100 Karayolu No:98  Kadıköy / İstanbul;MUHAMMET İHSAN KARAMAN
